Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,Ticker
3.0,199.0,223.0,125.81660461425781,137.1090436018223,,163.28216776567768,33.87731696269344,0.08975316908436737,2024-10-10,2024-11-13,34 days,; partially_closed; stop-loss tightened during volatility spike,AIR.F
212.0,237.0,242.0,2.3612358570098877,2.471919059753418,,,23.464838981628418,0.04687511517112575,2024-12-03,2024-12-10,7 days,; partially_closed,CAR1.F
211.0,237.0,247.0,2.3612358570098877,2.3612358570098877,,3.0672453782558446,0.0,0.0,2024-12-03,2024-12-17,14 days,; partially_closed,CAR1.F
218.0,248.0,264.0,2.3427886962890625,2.4534718990325928,,,24.1289381980896,0.04724421067885909,2024-12-18,2025-01-16,29 days,; partially_closed,CAR1.F
217.0,248.0,266.0,2.3427886962890625,2.3058945474649364,,3.0193196547031405,-8.006030294835368,-0.015747962623588685,2024-12-18,2025-01-20,33 days,; partially_closed,CAR1.F
460.0,266.0,267.0,2.2505531311035156,2.305894374847412,2.2718040315111083,2.995356792926789,25.456972122192383,0.024590063206710866,2025-01-20,2025-01-21,1 days,; stop-loss tightened during volatility spike; closed_due to volatility spike,CAR1.F
466.0,268.0,269.0,2.269000291824341,2.2321059703826904,2.154627941187494,2.8995056555271153,-17.192753791809082,-0.01626016601874758,2025-01-22,2025-01-23,1 days,; closed_due to volatility spike,CAR1.F
232.0,271.0,273.0,2.2321059703826904,2.3612358570098877,,,29.958133697509766,0.057851145214695254,2025-01-27,2025-01-29,2 days,; stop-loss tightened during volatility spike; partially_closed,CAR1.F
233.0,271.0,289.0,2.2321059703826904,2.269000291824341,,2.995356792926789,8.596376895904541,0.016528929150852578,2025-01-27,2025-02-20,24 days,; stop-loss tightened during volatility spike; partially_closed,CAR1.F
474.0,289.0,297.0,2.269000291824341,2.133413691148279,,2.8036538987159734,-64.26804872045328,-0.05975609662308434,2025-02-20,2025-03-04,12 days,,CAR1.F
238.0,297.0,300.0,2.1214230060577393,2.2136588096618652,,,21.952121257781982,0.0434782706422745,2025-03-04,2025-03-07,3 days,; partially_closed,CAR1.F
237.0,297.0,304.0,2.1214230060577393,2.19521164894104,,2.827616760492325,17.487908363342285,0.03478261651381964,2025-03-04,2025-03-13,9 days,; partially_closed,CAR1.F
238.0,304.0,311.0,2.19521164894104,2.58260178565979,,,92.1988525390625,0.1764705179592252,2025-03-13,2025-03-24,11 days,; partially_closed,CAR1.F
238.0,304.0,312.0,2.19521164894104,2.2136588096618652,2.203512779021859,2.875542793750763,4.3904242515563965,0.008403363169890321,2025-03-13,2025-03-25,12 days,; partially_closed; closed_due to volatility spike,CAR1.F
264.0,377.0,386.0,2.1600000858306885,2.2799999713897705,,,31.679969787597656,0.05555550036607193,2025-06-27,2025-07-10,13 days,; partially_closed,CAR1.F
264.0,377.0,413.0,2.1600000858306885,2.380000114440918,2.3448000903129578,2.831820086717606,58.080007553100586,0.10185186105009914,2025-06-27,2025-08-18,52 days,; partially_closed; stop-loss tightened during volatility spike; closed_due to volatility spike,CAR1.F
341.0,199.0,204.0,2.928499937057495,2.4644999504089355,,3.663179913282395,-158.2239954471588,-0.1584428876972347,2024-10-10,2024-10-17,7 days,,CAJ1.F
351.0,204.0,210.0,2.390000104904175,2.2114999294281006,,3.0734339182376864,-62.65356159210205,-0.07468626261136968,2024-10-17,2024-10-25,8 days,,CAJ1.F
