End,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00
Duration,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,32 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,280 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00
CAGR [%],0.0,0.0,0.33560498807998496,-0.48966749609598015,8.383165530167403,-1.5662423546527027,3.4383925852367714,0.0,10.231259684632231,0.0,-3.639225536038271,3.694471750427364,1.7884137701436487,2.4001416278353283,0.0,0.0,0.0,8.452504232001946,-50.771809175682336,0.0,0.0,-0.06951086338622403,1.2990183154741874,0.3082940516587307,0.0,4.313121520257002,0.7542840512823057,8.786399711337477,-2.3451138059189636,0.0,0.0,0.6941330238717791,-7.739943156037898,-0.05322854091410756,0.0,0.690226386705306,0.0,0.0,-0.6571542045214374,0.5999415422194287,0.878257666442761,4.786295154837594,0.0,0.0,0.0,0.0,2.362504268476018,-8.809248364335643,1.1740074001236778,0.6941590218674465,0.0,-2.5592678307934658,3.033578314332175
Sharpe Ratio,,,0.04400070216534518,-0.07897689516716042,0.7277263355038369,-0.18228284542538958,0.6381683310487272,,0.9868211519224377,,-0.44179007609154797,0.5505452091474374,0.5293031462688317,0.8639142074388809,,,,0.6555987693989588,-2.778977655609153,,,-0.013784622462302594,0.14839301278041012,0.06687793348920854,,0.5952355903608447,0.0268190847607217,1.202483317994968,-0.29880373118179016,,,0.08135130641850052,-1.2935901477438798,-0.010361037016232092,,0.7642488782623582,,,-0.3412189168573337,0.1720255010041623,1.0312495796164487,1.2244590260905754,,,,,0.26804628548588355,-0.414934334888697,0.26911320489746815,0.16486896786696173,,-0.48462496881735,0.6785873511435142
Sortino Ratio,,,0.06737375885003252,-0.13888756978855224,1.9771469368856651,-0.2357097495426615,1.2016048648286066,,10.671751253365649,,-0.6141531454367056,1.033947146266771,2.5945821924858543,2.180403633265439,,,,1.339768336313744,-1.6392470729189828,,,-0.020120628801407425,0.23488537485207914,0.09892245519223364,,1.157907963399396,0.054635860750422684,4.266350955354154,-0.37389000924502197,,,0.10985397934680347,-1.3992003851993644,-0.014737064009313664,,2.8209723939950657,,,-0.429946251589488,0.3067812461741023,5.70401216131457,2.2104001560336397,,,,,0.38837764444405626,-0.5242258637463325,0.40467078296911396,0.277255523014207,,-0.5643384706516342,2.5909893305852
Calmar Ratio,,,0.04557632524115317,-0.04106855135170528,1.0294125359486408,-0.12302786610157278,0.8612154791560449,,7.994895539271586,,-0.25371747412735485,0.6757655235428712,1.388810853299935,1.9220768993578001,,,,1.4025811942557886,-0.7501441357558288,,,-0.008931684695947496,0.16103756444596665,0.07152155455167901,,0.6963428766040847,0.025396083909862414,3.533134032911128,-0.20640899429479861,,,0.05722508812373587,-0.4511325236502611,-0.006958032061281496,,1.7801899019597287,,,-0.24591699197968458,0.1982483141039527,3.0726405001088968,1.0636268640793862,,,,,0.29560132593637123,-0.2782894300510969,0.35626020517811574,0.12393523526512458,,-0.2188496952138587,2.345297570781076
Alpha [%],0.0,0.0,-2.801090475984398,3.6454926908333585,14.203171987271316,-6.250516326996804,10.979884024677052,0.0,24.91153720724516,0.0,-5.8910340881611365,6.738765589697397,2.7616986842256517,4.605466078880104,0.0,0.0,0.0,25.33402848433728,-70.6285104423836,0.0,0.0,1.4440410194243856,6.994557296219189,0.4590015490141425,0.0,10.973980508021373,19.945184015874887,21.53847190438553,-6.57616783926316,0.0,0.0,4.34909590125616,-10.961870954936543,0.3024946195869125,0.0,1.7852298576481291,0.0,0.0,-2.3970989713829662,1.7124150789236277,2.0828483805681874,8.205744594552767,0.0,0.0,0.0,0.0,11.917615739548001,5.070524008361232,2.8781997103315438,-2.1121938782414262,0.0,-5.891121087415147,7.750409724007602
Beta,0.0,0.0,0.1055956967694662,0.20210363325544164,0.2326586152659197,0.1116640537962427,0.06954101802484963,0.0,0.0673988195332912,0.0,0.3414343600407217,0.125543722812279,0.03753436256235282,0.03373264550491606,0.0,0.0,0.0,0.16453127884873464,0.129199612242148,0.0,0.0,0.12935641323930663,0.23618028263837895,0.08030600841488074,0.0,0.08562355600980225,0.21105052826441334,0.06283610331913067,0.17244461269410533,0.0,0.0,0.16945879438923764,0.23653478025001257,0.0880885675239816,0.0,0.0012150024465300028,0.0,0.0,0.027272553987312424,0.04017061639974099,0.003966476176870163,0.1033787695994155,0.0,0.0,0.0,0.0,0.31280002440608695,0.46677762454364263,0.07374271781350646,0.05453511234391767,0.0,0.10076562130270941,0.044391632350339445
Max. Drawdown [%],-0.0,-0.0,-10.480064404993028,-16.939857299690697,-11.783838889797838,-18.04596791150608,-5.719153167094671,-0.0,-1.858618882684493,-0.0,-20.241964316403216,-7.871532037966178,-1.846640801030175,-1.7930232758282982,-0.0,-0.0,-0.0,-8.762633940415865,-84.87254530793965,-0.0,-0.0,-11.116205254279299,-11.740794135119724,-6.16193063295658,-0.0,-8.929638392378159,-42.49819854982423,-3.6184599757574154,-16.148769603293147,-0.0,-0.0,-17.354130058103078,-24.096875929765517,-10.927241766938723,-0.0,-0.5547128356933606,-0.0,-0.0,-3.8121321316528456,-4.338437747755153,-0.40909800770903004,-6.493880103264771,-0.0,-0.0,-0.0,-0.0,-11.474968538265372,-44.35292445231623,-4.719481092355293,-8.013289118530032,-0.0,-16.613902945902403,-1.859761297276985
Avg. Drawdown [%],,,-5.322656069414021,-4.77728978784942,-3.3760641902889854,-18.04596791150608,-2.644283051276657,,-1.858618882684493,,-3.8614964432016188,-3.5375226323146687,-1.2084707917690007,-0.8914264676772218,,,,-3.9999212929869215,-84.87254530793965,,,-4.201766655137899,-5.285373390424553,-2.8262729748180377,,-3.5855941175746726,-12.173612072502653,-1.7162297572655933,-16.148769603293147,,,-5.459488330262113,-5.651815482049695,-4.074736984061469,,-0.5547128356933606,,,-3.8121321316528456,-3.3090921854522635,-0.40909800770903004,-1.123424013330554,,,,,-3.9226057167230572,-44.35292445231623,-2.8847597015965887,-8.013289118530032,,-6.284880294971369,-1.3182549412657805
Max. Drawdown Duration,,,254 days 00:00:00,340 days 00:00:00,219 days 00:00:00,183 days 00:00:00,72 days 00:00:00,,2 days 00:00:00,,98 days 00:00:00,142 days 00:00:00,295 days 00:00:00,338 days 00:00:00,,,,144 days 00:00:00,358 days 00:00:00,,,210 days 00:00:00,249 days 00:00:00,252 days 00:00:00,,284 days 00:00:00,205 days 00:00:00,150 days 00:00:00,182 days 00:00:00,,,211 days 00:00:00,295 days 00:00:00,294 days 00:00:00,,22 days 00:00:00,,,16 days 00:00:00,256 days 00:00:00,2 days 00:00:00,27 days 00:00:00,,,,,175 days 00:00:00,253 days 00:00:00,240 days 00:00:00,28 days 00:00:00,,344 days 00:00:00,183 days 00:00:00
Avg. Drawdown Duration,,,70 days 00:00:00,88 days 00:00:00,87 days 00:00:00,183 days 00:00:00,21 days 00:00:00,,2 days 00:00:00,,22 days 00:00:00,42 days 00:00:00,101 days 00:00:00,118 days 00:00:00,,,,37 days 00:00:00,358 days 00:00:00,,,116 days 00:00:00,68 days 00:00:00,57 days 00:00:00,,79 days 00:00:00,45 days 00:00:00,56 days 00:00:00,182 days 00:00:00,,,83 days 00:00:00,63 days 00:00:00,88 days 00:00:00,,22 days 00:00:00,,,16 days 00:00:00,95 days 00:00:00,2 days 00:00:00,8 days 00:00:00,,,,,83 days 00:00:00,253 days 00:00:00,58 days 00:00:00,28 days 00:00:00,,118 days 00:00:00,63 days 00:00:00
# Trades,0,0,5,9,9,7,6,0,2,0,10,4,2,2,0,0,0,15,35,0,0,9,6,8,0,6,26,5,7,0,0,7,10,3,0,1,0,0,1,2,0,3,0,0,0,0,8,18,4,1,0,5,2
Win Rate [%],,,60.0,44.44444444444444,88.88888888888889,57.14285714285714,66.66666666666666,,100.0,,40.0,50.0,100.0,100.0,,,,73.33333333333333,31.428571428571427,,,66.66666666666666,33.33333333333333,50.0,,50.0,50.0,100.0,57.14285714285714,,,57.14285714285714,10.0,66.66666666666666,,0.0,,,0.0,50.0,,66.66666666666666,,,,,75.0,55.55555555555556,100.0,0.0,,40.0,100.0
Best Trade [%],,,11.892093931127778,21.972938455149247,19.696139788908052,29.024111091973893,8.090098984857264,,33.09828641168584,,16.354130572314453,24.30555619943291,5.593558435955037,8.975316908436737,,,,17.64705179592252,46.40147793124822,,,6.455496802665794,13.256827031749996,5.589658099390626,,10.299998650343479,33.54838689829877,10.447755878027664,6.099998474121104,,,14.706106339086844,4.146348542537148,11.267691824495053,,-0.357045818307411,,,-3.9082710852054947,4.312119964146421,,29.346189302354198,,,,,11.586679874015783,12.73224055106743,5.913224919934579,-2.310231023102305,,14.132028832399769,9.504134745160364
Worst Trade [%],,,-8.937281969358013,-4.653418834557921,-9.374649887273733,-14.090907429651923,-3.7230741060697126,,23.910980285945136,,-5.512428168484796,-3.6144600462750365,4.145185737893486,5.968042998395373,,,,-5.975609662308434,-20.848710465357478,,,-4.608602263199191,-5.094847741656161,-2.71995445456481,,-2.732565115437835,-12.735843221332077,4.761900127918861,-6.893905866232752,,,-7.475386225631042,-8.040662840687373,-7.996831834309037,,-0.357045818307411,,,-3.9082710852054947,-0.7626770647603309,,-4.06359934209809,,,,,-5.646458509515129,-18.268179762277647,0.07007531519325205,-2.310231023102305,,-6.077370617313871,6.65288938921651
